,GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
29,,2189,Oneida County Sanitary Landfill,ID,1750 N Old Highway 191,Malad City,Oneida,83252.0,42.210098,-112.237099,Unknown,,1981.0,2002.0,Closed,,,No,,,180266-0,Low Potential,,,,Unknown,Unknown,,,,,,
30,1000783.0,2175,Pickles Butte SLF,ID,15500 Missouri Avenue,Nampa,Canyon,83686.0,43.493,-116.704,Public,"Canyon County, ID",1983.0,2035.0,Open,6074675.0,2021.0,No,,,180252-0,Low Potential,,,,Unknown,Unknown,,,,,,
31,1008253.0,20702,Simco Road Regional Landfill,ID,16415 NW Waste Site Drive,Mayfield,Elmore,83716.0,43.256283,-115.902837,Private,"Idaho Regional Waste Services, LLC",2000.0,2300.0,Open,2734582.0,2020.0,No,,,200909-0,Candidate,,,,Unknown,Unknown,,,,,,
32,,2192,St. Anthony Landfill,ID,716 N 2400 E,St Anthony,Fremont,83445.0,43.9808,-111.6779,Public,"Fremont County, ID",1965.0,,Open,75000.0,2009.0,No,,,180269-0,Future Potential,,,,Unknown,Unknown,,,,,,
33,1001754.0,2193,Teton County Landfill,ID,114 E 25 N,Driggs,Teton,83422.0,43.726,-111.073,Public,"Teton County, ID",1980.0,2007.0,Closed,,,No,,,180270-0,Low Potential,,,,Unknown,Unknown,,,,,,
0,1003742.0,1859,31st Street Landfill,IL,11700 West 31st Street,Westchester,Cook,60154.0,41.83894,-87.91497,Private,Archdiocese of Chicago,1960.0,1982.0,Closed,9582454.0,1982.0,Yes,1.004,1.004,166905-0,Shutdown,Project #1,2004-10-01 00:00:00,2017-12-31 00:00:00,Electricity,Reciprocating Engine,,2.68,3.5,1.22,,
1,1002094.0,500,ADS/McLean County LF #2,IL,2105 W. Oakland Avenue,Bloomington,McLean,61704.0,40.472866,-89.037718,Private,"Republic Services, Inc.",1990.0,2018.0,Closed,2626797.0,2018.0,Yes,1.061,0.101,565-0,Operational,Project #1,2020-01-01 00:00:00,,Direct,Boiler,,,,0.96,0.09413,0.0083
2,,503,Alton Municipal Landfill,IL,4550 N. Alby Street,Godfrey,Madison,62035.0,38.928,-90.179,Public,"City of Alton, IL",1976.0,1992.0,Closed,660557.0,1990.0,No,,,568-0,Low Potential,,,,Unknown,Unknown,,,,,,
3,,1858,American Grading Company,IL,5100 Lawndale Avenue,McCook,Cook,60525.0,,,Private,American Grading Company,1954.0,1995.0,Closed,7000000.0,,Yes,,,166904-0,Shutdown,Project #1,1998-01-01 00:00:00,2005-09-01 00:00:00,Electricity,Reciprocating Engine,,3.6,,,,
4,1003744.0,521,Beecher Landfill,IL,1055 W. Goodenow Road,Beecher,Will,60401.0,41.3915,-87.6388,Private,WM,1972.0,1996.0,Closed,4613270.0,1996.0,Yes,0.641,,586-0,Shutdown,Project #1,2006-06-01 00:00:00,2014-01-01 00:00:00,Electricity,Reciprocating Engine,,1.53,2.12,0.73,0.0,0.0
