ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSTOTHH,MINORPOP,LOWINCOME,UNEMPLOYED,LESSHS,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT
IA,Cerro Gordo,42672.0,19452.0,4304.0,11721.0,741.0,2080.0,8.189596839291681,40.3885695201658,0.12918062754199655,20.0,0.21219512195121953,271.8591270107365,0.4661554059898405,1.6443737040803204,0.41681335744591885,2.5306767448679435,0.00024526625437155177,35899754.853658535,430723.6341463415,0.024390243902439025,0.04878048780487805
IA,Cherokee,11281.0,5297.0,880.0,3156.0,146.0,628.0,7.43910591780822,42.08084112978521,0.090240685192098,20.0,0.2,41.11433699048384,0.021650537262706857,1.3844191489863191,0.0387802863090155,0.5580363385638921,4.245872694384615e-06,106727224.5,30225.714285714286,0.0,0.0
IA,Chickasaw,11970.0,5107.0,562.0,2912.0,143.0,525.0,8.396289931506846,40.322588562091525,0.09277490338634176,20.0,0.2,20.039722794341387,0.04113147940186762,1.4216503918185999,0.25749638004894,0.2812279913915175,0.34239177296520823,163274076.75,431931.375,0.0,0.125
IA,Clarke,9383.0,3950.0,1720.0,3759.0,94.0,931.0,7.518251643835615,41.635258823529426,0.17152731624782575,20.0,0.25,70.82395111044232,0.016489177532080998,1.274005767437043,0.35960576247547127,0.9934760310613813,0.0008525877248821666,139571700.5,190593.25,0.0,0.125
IA,Clay,16138.0,7381.0,1124.0,4928.0,388.0,607.0,7.263799718199608,41.569336414565825,0.09476265556297128,20.0,0.2,128.70377670866648,0.0116629099032175,1.3034121933140899,0.030267422614881998,1.4830597835666732,2.079892325e-07,104938533.21428572,990474.8571428572,0.0,0.0
IA,Clayton,17527.0,7563.0,719.0,5155.0,205.0,1245.0,8.460922855082911,40.839958892328866,0.09562364568171726,20.0,0.2,38.40309048975409,0.01567339569895595,0.7121363861880193,0.06623686456416747,0.24418437378164243,0.011989747870474412,106120841.31578948,1931348.6315789474,0.0,0.0
IA,Clinton,46734.0,19477.0,4275.0,14487.0,987.0,3140.0,9.12168131278539,42.49390525599129,0.1825318283673987,20.0,0.2625,205.9911627079325,0.10827719606858154,1.7269664281059889,0.18886978172772295,1.8696370872128192,10.758474704809453,37498639.5,821061.5625,0.020833333333333332,0.041666666666666664
IA,Crawford,16998.0,6388.0,5948.0,5913.0,435.0,1992.0,7.739895342465752,41.36825532487503,0.11246132606427729,20.0,0.2,138.53957212038506,0.013246606176685882,3.001209099950665,0.019554659014211585,2.331342793336945,0.00216535130180075,108809730.35294117,127748.05882352941,0.0,0.0
IA,Dallas,90418.0,35383.0,14270.0,14475.0,1612.0,2638.0,7.748926709719505,41.23548092125738,0.17868070767931227,22.142857142857142,0.2357142857142857,277.37933946888774,0.06700674169892605,0.8279133806516304,0.08712109035048238,0.561578717474528,0.0020218022862060476,36278239.97619048,204029.69047619047,0.0,0.0
IA,Davis,8977.0,3182.0,297.0,2339.0,128.0,1007.0,8.059259999999998,41.95775187908498,0.09178956728446362,20.0,0.2625,46.84368712675671,0.022698963064048124,0.5013064286191328,0.03871272604664325,0.5844287462793242,9.6754518714e-05,162582740.75,863010.875,0.0,0.0
IA,Decatur,7908.0,3242.0,652.0,2684.0,152.0,493.0,7.522485616438359,42.1589861111111,0.09034883708794313,20.0,0.2,14.808774594952268,0.010496469868083875,0.2958556776277507,0.07387588122787138,0.150143241681008,,172196176.0,517328.25,0.0,0.0
IA,Delaware,17107.0,6915.0,707.0,3746.0,166.0,1073.0,8.663661430745815,41.8278265432099,0.10936695141261711,20.0,0.2,99.50915157871324,0.017334233647464167,0.9938718692902067,0.4335582505806475,0.5834613737859321,6.547034696803633,83121855.55555555,176965.27777777778,0.0,0.1111111111111111
IA,Des Moines,39227.0,16850.0,5161.0,12355.0,832.0,2130.0,9.017227967123288,42.564113986928106,0.20050304503806035,20.0,0.278,240.61757330328203,0.09767475477709586,0.4099947204223047,1.9337121497547303,2.0255263637228524,0.002135616824901146,21555367.52,706855.88,0.02,0.14
IA,Dickinson,17260.0,8479.0,822.0,3929.0,178.0,525.0,7.111604258111032,41.2826927760578,0.08850368750461395,20.0,0.2,138.5124298249975,0.009984306829797526,0.37539206372080514,0.45884608764005597,0.7407255417365818,7.35112482e-07,51872344.578947365,3193717.947368421,0.0,0.10526315789473684
IA,Dubuque,97193.0,38655.0,9472.0,21926.0,2142.0,4387.0,8.901044726852616,41.546091526891885,0.17043708120665266,20.0,0.2060240963855422,439.9896767460181,0.2996011616882197,1.029836741167817,0.34098487315327175,4.265742946175136,0.0008977294387732432,18981782.843373492,254684.10843373495,0.012048192771084338,0.04819277108433735
IA,Emmet,9322.0,4023.0,1258.0,2260.0,147.0,593.0,7.285552204234121,40.84334842543078,0.09645969231499017,20.0,0.2,104.07867672931576,0.009753774457823364,1.005420746161866,0.18431207884131418,1.2442731707718495,0.00029935340835272726,93213575.0,1561415.0,0.0,0.18181818181818182
IA,Fayette,19604.0,8215.0,1374.0,6178.0,222.0,1141.0,8.456879315068493,40.834100475341636,0.09242001114884624,20.0,0.2,67.81306140035429,0.019377218528119498,0.7978282783775072,0.8987260991302662,1.535604320716532,0.0012010778958414,86036669.77272727,61588.86363636364,0.0,0.18181818181818182
IA,Floyd,15713.0,6899.0,1542.0,4552.0,207.0,876.0,8.328961257050764,40.164225528642824,0.10610641511493858,20.0,0.2,121.42346561878779,0.37103244116806866,2.7358373411394226,0.6570659605512998,0.69446886860783,0.034589499232622,76263054.29411764,119054.70588235294,0.058823529411764705,0.17647058823529413
IA,Franklin,10091.0,4195.0,1543.0,3437.0,216.0,682.0,8.211525902864262,40.810326143790824,0.10235259284176444,20.0,0.2,70.59758818920221,0.02325689612166927,1.4800552442284272,0.7207254637620104,0.3176367944378825,5.340457164e-07,137026527.1818182,130758.72727272728,0.0,0.18181818181818182
IA,Fremont,6895.0,2952.0,384.0,1873.0,133.0,302.0,8.047039469178083,41.69146217320262,0.10701764529733375,20.0,0.2,12.356353390101951,0.016189869759130875,0.6820940454858095,0.04507481990461587,0.10517945922573138,0.00010007834273957142,165489776.875,1771117.25,0.0,0.0
IA,Greene,8923.0,4037.0,510.0,2653.0,201.0,419.0,7.736553607305939,40.72674226579519,0.10677253486245851,20.0,0.20000000000000004,35.41904363384029,0.013552956130236,0.8036232095090532,0.13086831726840734,0.9424560234882087,0.016028418072769498,245859118.66666666,734032.1666666666,0.0,0.16666666666666666
IA,Grundy,12262.0,5164.0,404.0,2307.0,153.0,423.0,8.260007843444226,41.29646666666664,0.09664377558152529,20.0,0.2,72.43420934524535,0.028044491031428427,1.5818667458060343,0.049335216113945854,0.05702459980956315,1.3625575000000001e-09,185685671.0,13216.0,0.0,0.0
IA,Guthrie,10702.0,4478.0,558.0,2836.0,212.0,468.0,7.59451910958904,40.59251862745094,0.09099884988719788,20.0,0.2,1.3974568628525557,0.019188737643666874,0.9116459757260064,0.03370376375012413,0.12771540370964313,2.8036301055e-06,191207088.125,794441.375,0.0,0.0
IA,Hamilton,14905.0,6122.0,1653.0,3390.0,230.0,668.0,8.051024263698631,41.256818423202624,0.116839589390775,20.0,0.2,117.15026343653682,0.011652297747090812,0.9944906326411875,0.3419862196418343,1.7861144876511885,0.08396481940349344,93357545.0625,122261.375,0.0,0.125
IA,Hancock,10709.0,4787.0,837.0,2653.0,120.0,541.0,7.961306027397261,40.54453420479303,0.08811406902610189,20.0,0.2,16.922277129738056,0.024605165652061556,1.6382502729333357,0.794026443399005,0.8792211443355527,0.0007596736854618572,164321672.7777778,585063.1111111111,0.0,0.4444444444444444
IA,Hardin,16924.0,7185.0,1431.0,4670.0,230.0,885.0,8.167387676712327,41.196817843137254,0.10341646784494885,20.0,0.2,126.77020326848,0.014871251633371949,1.2293676117729253,0.0897404362529488,0.6123285069690009,5.300156767e-06,73724901.8,89187.95,0.0,0.05
IA,Harrison,14043.0,6094.0,593.0,3611.0,188.0,724.0,7.8988807338551865,41.90144565826328,0.12961003473555271,20.0,0.22142857142857145,36.404534539245454,0.02281218378793343,1.0151072802282988,0.039951304566399067,0.4725576070078486,0.005717825416965077,128921162.21428572,880393.2857142857,0.0,0.0
IA,Henry,19889.0,7591.0,2435.0,5345.0,465.0,1013.0,8.749993325031134,42.27784417706478,0.1365475959391336,20.0,0.22272727272727275,106.80582560300654,0.03689709915938695,1.4039530244954543,0.03689134523044877,0.8243281276295861,0.007212426985482857,51127281.54545455,262492.2272727273,0.0,0.0
IA,Howard,9201.0,3754.0,337.0,2615.0,115.0,551.0,8.311272798434443,39.34568814192341,0.08714852136746999,20.0,0.2,27.166453775016674,0.021072979962224854,0.6900235113186687,0.3408983119871963,0.20589249335472717,1.622556158271591,175100405.85714287,133068.57142857142,0.0,0.14285714285714285
IA,Humboldt,9518.0,4195.0,667.0,2831.0,179.0,419.0,7.85313793275218,40.94686470588231,0.09578996677669109,20.0,0.2,46.69255792572467,0.010686903542164183,1.3039818480113352,0.04047977804788482,0.5820357781794707,0.0003616843842440909,102274363.45454545,306673.54545454547,0.0,0.0
IA,Ida,6862.0,2972.0,363.0,2088.0,80.0,377.0,7.594701682974561,41.79279841269841,0.08519276866877387,20.0,0.2,19.47229159792283,0.014062091143970142,1.8539850982339772,0.1492221268166843,0.06989545260739415,9.794102610071428e-05,159659191.2857143,198852.2857142857,0.0,0.14285714285714285
IA,Iowa,16155.0,6646.0,958.0,3584.0,296.0,629.0,8.413057818003912,41.97217478991595,0.11715653035880849,20.0,0.2,16.448860336704996,0.015140392975489357,0.9698393847583185,0.17835751502384922,0.37533461974946675,0.0007094595260541001,108493692.07142857,191917.64285714287,0.0,0.07142857142857142
IA,Jackson,19348.0,8183.0,944.0,5426.0,540.0,939.0,8.883759839352429,42.17823888888889,0.1283777464622595,20.0,0.2,123.13982450768394,0.051994618083779136,0.6936586164337192,0.03295315953100614,1.5132936893738742,0.011441864078839271,74879314.95454545,1596775.1818181819,0.0,0.0
IA,Jasper,37032.0,14644.0,2537.0,10391.0,656.0,1619.0,7.885442809329877,41.4466283518813,0.16822500227172435,20.0,0.2,157.082938271693,0.06757735877554316,0.3973427731024787,0.567287996096221,1.9271175418529094,0.0005072652556198621,51129597.54054054,176869.32432432432,0.02702702702702703,0.08108108108108109
IA,Jefferson,18153.0,6855.0,3451.0,6954.0,661.0,1022.0,8.39803315068493,42.04329969834089,0.131237769992271,20.0,0.25384615384615383,108.66832988634465,0.6665974321276372,1.075803260837053,0.5619479235874091,1.2924747292403325,0.1781307287804286,86769414.84615384,270941.3846153846,0.07692307692307693,0.07692307692307693
IA,Johnson,150819.0,60430.0,33804.0,45876.0,3226.0,3813.0,8.758637038211969,42.640492638458895,0.20384708153485248,20.526315789473685,0.2831578947368421,478.59633911214485,0.012233944373748822,2.1608629789421308,0.8227372154264874,2.604428328806783,0.0015975412776326869,16712231.736842105,274364.4736842105,0.0,0.042105263157894736
IA,Jones,20575.0,8186.0,1424.0,5183.0,453.0,944.0,8.725534237923577,42.32316928104575,0.11376407668580306,20.0,0.2,80.76041714342591,0.01675597791649384,0.6195788602101798,0.030468549569460057,1.489480997876463,0.013751420645721157,78465513.78947368,199078.52631578947,0.0,0.0
IA,Keokuk,10163.0,4330.0,395.0,3036.0,192.0,487.0,8.323720084299264,41.928956359979864,0.10244466406981462,20.0,0.2,7.677719338019303,0.024942900755754616,1.2107654260498912,0.03662530941216084,0.12586553180500354,7.3738476365e-06,115388985.53846154,149543.38461538462,0.0,0.0
IA,Kossuth,14864.0,6575.0,869.0,4294.0,275.0,668.0,7.677762417405317,40.596880661284104,0.09218916512399235,20.0,0.2,70.65872351110622,0.012036969992170589,1.193630125351415,0.03396241272792976,0.5808077468684075,0.0003910161416673125,148197753.47058824,242681.88235294117,0.0,0.0
IA,Lee,33946.0,14338.0,3181.0,10406.0,849.0,1674.0,8.878736471767459,42.087010027100256,0.15435177286844953,20.0,0.2926829268292683,133.91200767084553,0.03695705432908759,1.1838095487575944,0.4480237095425139,2.5345525168058183,0.1740177296026501,32693867.341463413,1347969.9268292682,0.0,0.12195121951219512
IA,Linn,225601.0,91304.0,33689.0,53955.0,4893.0,8231.0,8.816071125317096,42.700128322440094,0.2209803411319538,23.580246913580247,0.2876543209876543,678.9111780664817,0.012944955473398462,1.1556019274925122,0.7034264228718088,2.676648739048341,0.02363675262190623,11464031.271604938,121670.30864197531,0.0,0.06172839506172839
IA,Louisa,11125.0,4343.0,2469.0,2922.0,231.0,1220.0,8.906330557077629,42.77401154684095,0.11241529091127393,20.0,0.2,36.83288027199698,0.022316990412448733,0.7868221089899529,0.0506420530514904,0.8656209327119399,0.024494445808698844,69372265.06666666,2718954.7333333334,0.0,0.0
IA,Lucas,8556.0,3718.0,288.0,3030.0,139.0,419.0,7.598360547945203,41.72898836601307,0.142110057122811,20.0,0.25,7.865149272063062,0.0149587302597497,0.4483115842801192,0.0364590186158531,0.627281708814063,4.73799e-10,111545826.4,985284.5,0.0,0.0
IA,Lyon,11800.0,4593.0,577.0,2727.0,132.0,614.0,6.645808438356162,42.468704927099076,0.09259851418430486,20.0,0.2,4.067269702348786,0.01934196266842377,1.3588210542130656,0.11921818702375461,0.328326476917721,0.0005139385049936,117069327.76923077,33867.153846153844,0.0,0.15384615384615385
IA,Madison,16148.0,6619.0,829.0,3100.0,274.0,495.0,7.5251924383561635,41.01882135076253,0.10209605366443601,20.0,0.20000000000000004,22.172520402982283,0.02799916780848875,1.2647783313518355,0.03623974081013192,1.6201021221187977,7.21434075e-06,121083254.33333333,248653.33333333334,0.0,0.0
IA,Mahaska,22351.0,8947.0,1633.0,7142.0,365.0,1229.0,8.172472892367907,41.84956974789915,0.12805720140600826,20.0,0.2,194.40000674077626,0.019826073380002668,0.8045510324723958,0.718757351563602,1.9521939374130373,0.025400393114092572,70404682.47619048,314015.2380952381,0.0,0.14285714285714285
IA,Marion,33193.0,13532.0,1900.0,6735.0,431.0,1336.0,7.849783727984344,41.61557938842204,0.11586929972078908,20.0,0.2285714285714286,95.69808911428,0.02318774995262125,0.6961213180284658,0.7426316502002549,2.4907628946428146,0.010458351472963524,51290110.21428572,1481593.142857143,0.0,0.14285714285714285
IA,Marshall,39804.0,15388.0,12085.0,12558.0,1035.0,3891.0,8.051281798195788,41.43043078271959,0.1547660193138357,20.0,0.2097560975609756,155.23844058036585,0.03191170933771944,0.7955161598849441,0.03205426500322059,1.8393136658560574,0.024720049319819613,36165270.0,43977.560975609755,0.0,0.0
IA,Mills,15023.0,5442.0,908.0,3302.0,309.0,671.0,8.144924868282402,41.23429894419307,0.13683427941521378,20.0,0.25384615384615383,46.04452351043084,0.03141768176707262,0.7684789975354949,0.059921172717024004,0.46481771057683374,8.14134376661e-05,87149269.23076923,639720.2307692308,0.0,0.0
IA,Mitchell,10588.0,4472.0,349.0,2991.0,82.0,584.0,8.256592420091323,39.542894989106735,0.096193408808278,20.0,0.20000000000000004,,0.03237022061455767,0.972802593111472,0.2530178369668054,0.4420648806661027,5.159660414111111e-06,101280684.33333333,93207.58333333333,0.0,0.08333333333333333
IA,Monona,8675.0,3988.0,491.0,2377.0,102.0,470.0,7.634691876712329,42.14287461873635,0.11162282567764041,20.0,0.20000000000000004,5.1285055038463545,0.012778647524312917,0.9286032543252621,0.021355449798438664,1.1994899442240192,6.728358764575e-05,149803256.41666666,1049255.25,0.0,0.0
IA,Monroe,7761.0,3243.0,407.0,2260.0,195.0,548.0,7.917743047945207,41.89876348039215,0.13343106479004288,20.0,0.2,93.26219543169756,0.014311654370094375,0.5280202147225453,0.053611721984711876,0.9590851360636022,1.374962042925e-05,140415097.625,190348.75,0.0,0.0
IA,Montgomery,10016.0,4479.0,681.0,3281.0,169.0,565.0,7.739046455790782,40.87535876411169,0.13231253246132027,20.0,0.2,61.92573422671303,0.02208146691234418,1.101809263810624,0.3097472161465584,0.5658438268809142,0.013150041589763113,99855070.0909091,219131.45454545456,0.0,0.18181818181818182
IA,Muscatine,42703.0,16543.0,10092.0,12274.0,732.0,3101.0,8.952156133072407,43.121572268907585,0.14675887484749886,20.0,0.2457142857142857,153.7438335904863,0.014379776508534541,1.1780595281234099,0.3430184582066784,2.069247275021666,0.008602443256706107,32370779.6,864637.7428571428,0.0,0.14285714285714285
IA,O'Brien,13796.0,5976.0,1086.0,3735.0,130.0,777.0,7.163768509589039,42.161413115468385,0.0961587619269304,20.0,0.2,85.51209482825226,0.021378723810251597,1.5379102591606808,0.2255929965129284,1.0366599836698718,2.6713787777777775e-09,98943597.13333334,29829.866666666665,0.0,0.0
IA,Osceola,6016.0,2664.0,712.0,1752.0,96.0,502.0,6.894640397260275,41.871531372549,0.0842384958996445,20.0,0.2,5.4360633661280575,0.01522413475392675,1.7445093244527758,0.046426740920078875,0.39292835416724653,,129074225.375,229407.875,0.0,0.0
IA,Page,15205.0,6414.0,1417.0,4411.0,383.0,827.0,7.81559814852199,41.51169270725836,0.10435403515654822,20.0,0.2,72.03579695716428,0.013559789150653315,1.3477884828139814,0.03222958116460421,1.4174462143107844,0.00228280706504,72920928.5263158,71527.05263157895,0.0,0.0
IA,Palo Alto,8941.0,3712.0,709.0,1763.0,87.0,450.0,7.460131726027396,41.166259084967336,0.0851312857594994,20.0,0.2,67.41275595355813,0.008706471660519199,1.2083133070764478,0.0280541112728795,0.4861570453157431,7.544815938625e-05,146040055.3,1442872.7,0.0,0.0
IA,Plymouth,25141.0,10298.0,2212.0,5013.0,286.0,1087.0,7.253110367372354,42.94221078431371,0.10092218301582391,20.0,0.2,100.99429859809311,0.4846746771868251,2.439469382768496,0.04784917491602287,1.9418674485977874,0.00016452088122573686,101577966.22727273,98947.77272727272,0.045454545454545456,0.0
IA,Pocahontas,6725.0,3127.0,494.0,2209.0,140.0,494.0,7.624794965753423,41.092918954248375,0.08291818577972163,20.0,0.2,29.68062917262953,0.008695341564764376,1.4800521461413916,0.021712760920238626,0.41244701195019173,3.747161983783334e-05,186880901.125,458316.25,0.0,0.0
IA,Polk,485418.0,191125.0,111753.0,122855.0,12360.0,25427.0,7.865800563763862,41.591817394179884,0.26903784153880267,27.671641791044777,0.2991044776119403,1151.3081877791633,0.23816463079513753,1.1903675728592156,0.5014972512467541,2.100896339405814,0.0003402522155208713,4410679.571428572,149044.15773809524,0.005952380952380952,0.03869047619047619
IA,Pottawattamie,93478.0,36875.0,12081.0,26287.0,2054.0,6531.0,8.416875685667993,41.45217701876451,0.24033982056764244,22.473118279569892,0.2838709677419355,599.3985746859412,0.1645132085976233,2.671314405417258,0.6943629400949948,4.96996994701767,0.00010700979745203751,26492171.23655914,219247.29032258064,0.0,0.03225806451612903
IA,Poweshiek,18391.0,7827.0,1559.0,4206.0,495.0,749.0,8.105407771152295,41.554624067666275,0.11252474212475617,20.0,0.2,92.71998171359257,0.050454388937995705,1.2481745341713637,0.26273215555814666,0.5642708074323872,1.367064858e-06,89114421.41176471,174232.4705882353,0.0,0.11764705882352941
IA,Ringgold,4922.0,1843.0,242.0,1705.0,68.0,221.0,7.5608669406392695,42.2160934640523,0.08459671069304599,20.0,0.20000000000000004,,0.0103049084995445,0.430945524127754,0.03740063502014016,0.22274672117810648,5.0367373499999995e-08,231155393.83333334,1453854.1666666667,0.0,0.0
IA,Sac,9711.0,4344.0,534.0,2770.0,140.0,507.0,7.718767465753425,41.2168433006536,0.08817563508460474,20.0,0.2,10.141530056076181,0.010408707404960187,1.3255890815545066,0.027023486960563312,0.25846275874286073,0.08739592333572119,93081262.6875,535589.75,0.0,0.0
IA,Scott,172938.0,67437.0,36018.0,43851.0,3515.0,7600.0,9.295760591531755,43.159998123390764,0.2251345010067398,20.075757575757574,0.2909090909090909,481.7006472403614,0.03021861640683827,1.1197128742059368,1.0813124486844063,3.007684908683168,0.011969511898609946,8988360.280303031,198457.33333333334,0.0,0.06818181818181818
IA,Shelby,11544.0,5066.0,669.0,2994.0,212.0,685.0,7.748580659360731,41.10840148148148,0.09449751095671434,20.0,0.2,26.890592808934116,0.0258017455310386,1.6480865965888685,0.028002840075773066,0.5319009664680496,1.2272336896363636e-06,102007368.46666667,99075.0,0.0,0.0
IA,Sioux,34900.0,12379.0,4640.0,6399.0,422.0,1714.0,7.055525822971551,42.748431724484654,0.10551229673834527,20.0,0.2,84.11848125478133,0.05831398897987888,1.9674998637183683,0.2956989322573483,0.6852220017804308,0.000791980272999625,76495711.34615384,107500.69230769231,0.038461538461538464,0.11538461538461539
IA,Story,97355.0,37997.0,16339.0,29002.0,3100.0,1632.0,7.943298493150684,41.481711180827894,0.1873396183512499,20.0,0.216,391.0534275867105,0.02008413928101728,0.6312317363590146,0.6669957012403122,1.7572926256370458,6.662684920482692e-05,19771767.373333335,38164.72,0.0,0.06666666666666667
IA,Tama,16962.0,6736.0,3403.0,5157.0,342.0,997.0,8.167643943835618,41.49915117647057,0.1164412528102978,20.0,0.2,58.173453475775766,0.0268296443235378,1.2243203599823729,0.0330062642633781,0.44723388047264984,0.0012462538736485453,93370524.95,138470.9,0.0,0.0
IA,Taylor,6160.0,2567.0,611.0,1557.0,86.0,415.0,7.619414691780821,41.77379714052287,0.08763799266447188,20.0,0.2,,0.012978605260129875,1.5460835794360512,0.026198809091969373,0.4016150865185535,1.206124558875e-06,172202359.625,891670.375,0.0,0.0
IA,Union,12303.0,5199.0,779.0,3597.0,292.0,803.0,7.551304602739725,41.178794335512,0.11952351657304933,20.0,0.2,144.43829321569842,0.0152059330980372,1.53807375887259,0.2978948262164989,2.7699597107822287,4.530241259391666e-05,73149053.86666666,371723.6,0.0,0.06666666666666667
IA,Van Buren,7104.0,2969.0,281.0,2577.0,154.0,537.0,8.289148736681886,42.08688257080607,0.09619738075992688,20.0,0.2,,0.037267864740468996,0.23925072728301477,0.03917398109893478,0.07734668420113645,0.000595431798950875,139511746.0,1653388.7777777778,0.0,0.0
